Scenario ID,Type,Scenario Name,Description,KPI ID,Impact Type,Impact Value,Plausibility,Severity,Recovery Qtrs,Mitigation Lever,Calibration Source,Applied_Severity_Mult
S52_v1.5_2,Upside,5G early mover - enterprise revenue surge,"MTN launches 5G first, grabs enterprise share",DataARPU,pct,22.7551,3,3,4,5G investment,premium pricing,1.5
S53_v0.5_1,Upside,MoMo lending / micro-insurance breakthrough,"MoMo lending scales 5x, insurance attach rate 20%",SEG03,pct,17.7689,3,4,4,Fintech growth,industry opportunity,0.5
S47_v0.5_2,Stress,ECG load-shedding Stage 6 - 6 months,"Daily 8‑hour power cuts, diesel costs quadruple",DieselOpex,abs,357.6611,3,4,4,Alternative power,2024 load-shedding,0.5
S03_v1.5_1,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,FIN01,pct,-3.0711,3,4,2,Pricing strategy,indirect revenue loss,1.5
S04_v1.0_2,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",Dividend,abs,-51.6162,2,4,6,Repatriation planning (enhanced),FY22 dividend freeze,1.0
S42_v1.0_1,Stress,AT Ghana recapitalisation,"AirtelTigo gets new investor, aggressive marketing",Churn,pct,1.9959,3,3,2,Marketing efficiency,subscriber retention,1.0
S19_v1.5_1,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,USDOpex,pct,-22.5332,3,3,2,Shareholder returns,cost relief,1.5
S06_v1.5_1,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,Reputation,delta,-3.2312,2,5,3,Cyber resilience,qualitative,1.5
S33_v1.0_2,Shock,Ransomware - core network 10-day outage,"Full network outage due to ransomware, 10 days",FIN01,pct,-22.8713,1,5,4,Cyber insurance,MTN Nigeria 2023 analogue,1.0
S90_v1.0_1,Upside,ECG prepaid metering for sites,Better power management reduces diesel use,DieselCost,pct,-4.3266,4,2,2,Energy efficiency,ongoing saving,1.0
S75_v1.0_1,Stress,Minor cyber breach - limited data,Small leak of non‑sensitive data,Reputation,delta,-0.5284,4,2,1,Cyber hygiene,low impact,1.0
S33_v1.5_1,Shock,Ransomware - core network 10-day outage,"Full network outage due to ransomware, 10 days",OPS01,pct,-7.8544,1,5,4,Cyber insurance (enhanced),subscriber loss,1.5
S55_v1.0_1,Upside,Cedi appreciation +40%,Cedi appreciates 40% on structural reforms,FIN03,delta,4.0476,2,4,3,Currency management (enhanced),FY25 magnitude,1.0
S52_v1.0_1,Upside,5G early mover - enterprise revenue surge,"MTN launches 5G first, grabs enterprise share",DataARPU,pct,13.6892,3,3,4,5G investment (enhanced),premium pricing,1.0
S44_v0.5_2,Shock,Bank-led mobile wallet captures MoMo share,Consortium of banks launches unified wallet,MoMoUsers,pct,-8.746,3,4,3,Fintech partnership (enhanced),Kenya M-Pesa vs banks,0.5
S32_v1.5_2,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,FIN01,pct,-22.1148,2,5,6,Unified response,compound effect,1.5
S58_v1.5_1,Stress,Cedi devaluation -50% (extreme),"Cedi loses 50% in 6 months, hyperinflation",FIN01,pct,-30.3015,1,6,8,Contingency planning (enhanced),elasticity extrapolation,1.5
S21_v1.0_2,Stress,Cocoa/commodity crash - fiscal squeeze,"Cocoa prices fall 40%, export revenues drop",GDP,delta,-1.8525,3,3,2,FX hedging,FY23 cocoa shock,1.0
S83_v0.5_2,Stress,Diesel tax rebate,Govt removes fuel tax for telcos,FIN03,delta,0.235,4,2,1,Government relations,benefit,0.5
S04_v0.5_1,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",WorkingCapital,delta,6.3487,2,4,6,Repatriation planning,FY22 working capital impact,0.5
S30_v0.5_2,Shock,SIM re-registration 2.0 - 6-month disruption,"Mandatory new SIM registration, 6‑month process",ActiveSubs,pct,-4.1986,3,4,6,Stakeholder engagement,Nigeria SIM registration,0.5
S04_v0.5_2,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",WorkingCapital,delta,7.4841,2,4,6,Repatriation planning,FY22 working capital impact,0.5
S58_v1.5_2,Stress,Cedi devaluation -50% (extreme),"Cedi loses 50% in 6 months, hyperinflation",OPS04,pct,-50.8219,1,6,8,Contingency planning,ARPU halved,1.5
S01_v0.5_1,Stress,Cedi devaluation -25%,Cedi drops 25% vs USD over 2 quarters,OPS04,pct,-8.3794,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity,0.5
S60_v1.0_2,Stress,Inflation 35% (severe),CPI hits 35% after currency crisis,Opex,pct,24.1251,2,5,3,Price elasticity (enhanced),cost pass-through,1.0
S34_v0.5_1,Shock,MoMo vendor insolvency - forced migration,"MoMo platform vendor goes bankrupt, 15‑day migration",EmergencyCapex,abs,639.3831,2,4,6,Vendor diversification,industry risk,0.5
S28_v1.0_2,Stress,BoG MoMo interoperability mandate,Compulsory low‑cost interoperability with banks,SEG03,pct,-14.066,4,4,2,Fintech platform (enhanced),Tanzania analogue,1.0
S16_v1.0_2,Stress,Hyperinflation return - 50%+,"Inflation exceeds 50%, currency crisis deepens",Opex,pct,35.5991,2,5,6,Cost pass-through (enhanced),FY22 extreme,1.0
S41_v1.0_1,Shock,New MVNO entry - tech giant,Amazon or Google launches MVNO in Ghana,Enterprise,pct,-9.6135,2,4,3,Strategic partnership,business segment,1.0
S54_v0.5_2,Upside,Ghana GDP 8%+ super-cycle,"Oil & mining boom, GDP growth >8%",OPS01,pct,2.5643,2,3,2,Macro hedging,historical boom,0.5
S11_v1.5_1,Combined,Ghana macro reversal,"IMF suspension, cedi collapse, inflation spike",FIN03,delta,-6.3962,3,5,6,Diversification,compound margin impact,1.5
S84_v0.5_2,Stress,Removal of roaming surcharge,ECOWAS free roaming enforced,FIN01,pct,-0.1561,4,2,1,Regional negotiation,small erosion,0.5
S13_v1.5_1,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,Sites,delta,-641.1677,2,5,6,Resilience investment,worst-case scenario,1.5
S21_v0.5_1,Stress,Cocoa/commodity crash - fiscal squeeze,"Cocoa prices fall 40%, export revenues drop",MoMoVolumes,pct,-3.4308,3,3,2,FX hedging,transaction value,0.5
S68_v0.5_1,Stress,Subsea cable cut - minor 1 week,"Single fibre cut, 10% capacity loss",FIN01,pct,-0.2875,4,2,1,Redundancy planning (enhanced),limited impact,0.5
S22_v1.5_2,Stress,Oil price spike - pass-through inflation,"Crude oil +50%, diesel +80%",GeneratorOpex,pct,39.0425,3,3,1,Energy transition (enhanced),site costs,1.5
S78_v1.5_2,Stress,Corporate tax hike to 30%,Govt raises corporate tax rate,PAT,pct,-7.8007,3,3,2,Tax planning,earnings impact,1.5
S65_v0.5_1,Stress,Tariff cap -15% (mild),Data price cap at 0.65 GHS/GB,FIN01,pct,-1.5953,4,2,2,Pricing agility,partial cap,0.5
S17_v1.5_1,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,CapexFinancing,pct,55.0212,2,4,2,Refinancing,FY22 rate spike,1.5
S18_v0.5_1,Stress,Ghana sovereign downgrade to junk,"Moody's cuts Ghana to Caa1, foreign debt frozen",FXRepatriation,delta,0.504,2,4,6,Onshore reinvestment,FY22 freeze,0.5
S80_v1.0_2,Stress,Free MoMo transaction period,Govt mandates 6 months zero fees,SEG03,pct,-9.8593,4,3,2,Fintech reprieve,waiver impact,1.0
S01_v1.0_1,Stress,Cedi devaluation -25%,Cedi drops 25% vs USD over 2 quarters,FIN01,pct,-7.8501,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity,1.0
S32_v0.5_1,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,SEG03,pct,-13.6527,2,5,6,Unified response (enhanced),MoMo collapse,0.5
S67_v1.5_1,Upside,5G auction win - MTN leads,MTN wins 5G spectrum cheaply,DataShare,delta,2.93,4,3,3,5G leadership (enhanced),competitive advantage,1.5
S13_v0.5_1,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,OPS07,delta,-1.4978,2,5,6,Resilience investment,coverage loss,0.5
S57_v1.0_2,Stress,Cedi devaluation -15% (mild),Cedi weakens 15% gradually,OPS04,pct,-7.5157,3,2,2,Tariff repricing,ARPU effect,1.0
S58_v0.5_2,Stress,Cedi devaluation -50% (extreme),"Cedi loses 50% in 6 months, hyperinflation",FIN03,delta,-2.7986,1,6,8,Contingency planning,margin collapse,0.5
S18_v0.5_1,Stress,Ghana sovereign downgrade to junk,"Moody's cuts Ghana to Caa1, foreign debt frozen",RiskPremium,delta,262.7718,2,4,6,Onshore reinvestment,sovereign spread,0.5
S54_v0.5_1,Upside,Ghana GDP 8%+ super-cycle,"Oil & mining boom, GDP growth >8%",OPS04,pct,4.99,2,3,2,Macro hedging,ARPU uplift,0.5
S86_v0.5_2,Upside,Green energy subsidy,Govt subsidises solar for cell sites,FIN03,delta,0.2504,4,2,2,Solar investment (enhanced),operating cost,0.5
S42_v1.5_2,Stress,AT Ghana recapitalisation,"AirtelTigo gets new investor, aggressive marketing",SubsGrowth,delta,-4.9968,3,3,2,Marketing efficiency,historical precedent,1.5
S73_v1.0_1,Stress,Localised flood - 50 sites down,Regional flooding affects 50 towers,FIN01,pct,-0.276,4,2,1,Local resilience,short outage,1.0
S57_v1.0_1,Stress,Cedi devaluation -15% (mild),Cedi weakens 15% gradually,FIN01,pct,-3.5689,3,2,2,Tariff repricing,0.32 elasticity,1.0
S71_v1.5_1,Stress,New MVNO niche (youth),Small MVNO takes 2% of prepaid market,OPS01,pct,-0.8278,4,2,2,Segment defence,niche loss,1.5
S43_v1.0_1,Stress,Price war - all operators cut data 40%,"Industry‑wide data price war, 40% cuts",FIN01,pct,-10.7571,3,4,2,Cost leadership (enhanced),2018 price war,1.0
S63_v1.0_2,Stress,NCA small fine GHS 100m,Minor compliance fine,FIN03,delta,-0.5188,4,2,1,Compliance,one‑off impact,1.0
S17_v1.5_2,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,WorkingCapital,delta,28.8309,2,4,2,Refinancing,interest cost,1.5
S40_v0.5_2,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,DataShare,delta,-1.074,4,3,2,Value proposition (enhanced),market share shift,0.5
S20_v0.5_1,Stress,IMF conditionality tightening,"IMF demands higher tariffs, spending cuts",FIN01,pct,-1.0664,3,3,3,Strategic planning (enhanced),FY23 IMF programme,0.5
S60_v0.5_2,Stress,Inflation 35% (severe),CPI hits 35% after currency crisis,FIN03,delta,-2.0969,2,5,3,Price elasticity,FY22 extreme,0.5
S34_v1.0_2,Shock,MoMo vendor insolvency - forced migration,"MoMo platform vendor goes bankrupt, 15‑day migration",MoMoOutage,delta,15.0557,2,4,6,Vendor diversification,service disruption,1.0
S15_v1.5_1,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN01,pct,-18.4227,2,5,4,Emergency tariff repricing,FY22 0.32 elasticity compounded,1.5
S46_v0.5_1,Stress,Starlink Ghana rural expansion,Starlink launches low‑cost rural satellite broadband,ARPU,delta,-0.244,3,3,2,Satellite partnership (enhanced),pricing pressure,0.5
S14_v1.0_2,Combined,Reverse-FY25 - all tailwinds vanish,"Cedi weakens, inflation rises, regulatory crackdown",FIN03,delta,-5.7326,3,5,4,Base case review (enhanced),opposite of FY25,1.0
S51_v0.5_1,Stress,Labour dispute - extended strike,Union strikes for 4 weeks over pay,CustomerService,delta,-0.2507,2,3,2,Employee relations,NPS decline,0.5
S43_v1.5_2,Stress,Price war - all operators cut data 40%,"Industry‑wide data price war, 40% cuts",FIN03,delta,-5.8324,3,4,2,Cost leadership (enhanced),EBITDA margin,1.5
S72_v1.0_1,Stress,ECG load-shedding Stage 3 - 3 months,Daily 4‑hour power cuts,DieselOpex,abs,193.7319,4,3,3,Power backup,FY23 level,1.0
S20_v1.0_1,Stress,IMF conditionality tightening,"IMF demands higher tariffs, spending cuts",ConsumerSpending,pct,-5.0286,3,3,3,Strategic planning (enhanced),disposable income,1.0
S07_v1.5_1,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",FIN01,pct,-12.0125,2,4,2,Litigation & lobbying,MTN Nigeria precedent,1.5
S41_v1.0_2,Shock,New MVNO entry - tech giant,Amazon or Google launches MVNO in Ghana,DataARPU,pct,-15.5236,2,4,3,Strategic partnership (enhanced),international MVNO impact,1.0
S03_v0.5_2,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,FIN01,pct,-1.0775,3,4,2,Pricing strategy (enhanced),indirect revenue loss,0.5
S13_v1.0_2,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,OPS07,delta,-2.8015,2,5,6,Resilience investment,coverage loss,1.0
S08_v0.5_1,Shock,Major flood - 300+ sites down,Heavy rains damage 300 cell sites across south,FIN01,pct,-0.9293,2,3,2,Disaster recovery,FY21 flooding impact,0.5
S26_v1.0_2,Stress,Spectrum refarming forced at cost,Refarming 2G/3G to 4G/5G at NCA's cost,OPS07,delta,-1.9505,3,3,3,Network planning,coverage gap,1.0
S02_v0.5_2,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,FIN03,delta,-1.5206,3,3,2,Cost optimisation,FY22 inflation impact,0.5
S05_v0.5_1,Stress,ECG tariff +40%,Power utility raises tariffs 40%,Opex,pct,6.5486,3,3,1,Energy efficiency,FY23 tariff hike,0.5
S15_v1.0_1,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",OPS04,pct,-20.8651,2,5,4,Emergency tariff repricing,ARPU collapse,1.0
S03_v1.0_1,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,SEG03,pct,-24.9283,3,4,2,Pricing strategy,Q2 2022 e-levy impact,1.0
S41_v0.5_1,Shock,New MVNO entry - tech giant,Amazon or Google launches MVNO in Ghana,DataARPU,pct,-7.8137,2,4,3,Strategic partnership,international MVNO impact,0.5
S19_v1.5_2,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,FIN01,pct,14.2752,3,3,2,Shareholder returns,FY25 tailwind,1.5
S64_v1.5_1,Stress,NCA very large fine GHS 1.2bn,Major anti‑trust fine,Fine,abs,2014.9472,2,5,4,Legal reserve,extreme penalty,1.5
S16_v0.5_2,Stress,Hyperinflation return - 50%+,"Inflation exceeds 50%, currency crisis deepens",FIN03,delta,-2.8618,2,5,6,Cost pass-through,operating leverage,0.5
S22_v0.5_2,Stress,Oil price spike - pass-through inflation,"Crude oil +50%, diesel +80%",GeneratorOpex,pct,16.313,3,3,1,Energy transition,site costs,0.5
S34_v0.5_2,Shock,MoMo vendor insolvency - forced migration,"MoMo platform vendor goes bankrupt, 15‑day migration",MoMoOutage,delta,7.264,2,4,6,Vendor diversification,service disruption,0.5
S25_v1.5_1,Stress,NCA universal service levy increase,Levy raised from 1% to 2% of revenue,FIN03,delta,-2.4184,3,3,1,Compliance,margin impact,1.5
S26_v1.0_1,Stress,Spectrum refarming forced at cost,Refarming 2G/3G to 4G/5G at NCA's cost,OPS07,delta,-2.0949,3,3,3,Network planning,coverage gap,1.0
S20_v1.5_1,Stress,IMF conditionality tightening,"IMF demands higher tariffs, spending cuts",ConsumerSpending,pct,-8.1225,3,3,3,Strategic planning,disposable income,1.5
S47_v0.5_1,Stress,ECG load-shedding Stage 6 - 6 months,"Daily 8‑hour power cuts, diesel costs quadruple",FIN03,delta,-1.1746,3,4,4,Alternative power,margin impact,0.5
S70_v0.5_2,Stress,Telecel mild price promotion,10% discount on weekend calls,OPS04,pct,-0.5171,4,2,1,Retention campaigns,minor churn,0.5
S67_v0.5_1,Upside,5G auction win - MTN leads,MTN wins 5G spectrum cheaply,DataShare,delta,0.9483,4,3,3,5G leadership,competitive advantage,0.5
S79_v1.0_2,Stress,Mobile termination rate cut,Regulator cuts MTR by 50%,FIN01,pct,-1.6648,4,3,2,Wholesale pricing,revenue loss,1.0
S40_v0.5_1,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,OPS04,pct,-3.9209,4,3,2,Value proposition,competitor analysis,0.5
S32_v1.0_1,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,FIN01,pct,-14.9584,2,5,6,Unified response,compound effect,1.0
S45_v1.5_1,Stress,OTT substitution accelerates - voice collapse,WhatsApp voice + video kills traditional voice,SMSRev,pct,-50.8804,4,3,2,OTT monetisation,declining usage,1.5
S13_v1.5_2,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,Sites,delta,-592.323,2,5,6,Resilience investment,worst-case scenario,1.5
S21_v0.5_2,Stress,Cocoa/commodity crash - fiscal squeeze,"Cocoa prices fall 40%, export revenues drop",MoMoVolumes,pct,-4.4787,3,3,2,FX hedging (enhanced),transaction value,0.5
S85_v1.5_2,Upside,New data centre investment,MTN builds Tier‑4 data centre,EBITDA,delta,0.3106,4,3,2,Digital infrastructure,cloud revenue,1.5
S28_v1.5_1,Stress,BoG MoMo interoperability mandate,Compulsory low‑cost interoperability with banks,FeeYield,pct,-38.3729,4,4,2,Fintech platform,revenue erosion,1.5
S84_v1.0_1,Stress,Removal of roaming surcharge,ECOWAS free roaming enforced,FIN01,pct,-0.2884,4,2,1,Regional negotiation,small erosion,1.0
S29_v1.0_2,Shock,NCA partial licence revocation,NCA revokes MTN's data licence in 2 regions,FIN01,pct,-26.624,1,5,8,Legal defence,extreme tail risk,1.0
S04_v0.5_1,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",Dividend,abs,-22.1693,2,4,6,Repatriation planning,FY22 dividend freeze,0.5
S28_v0.5_2,Stress,BoG MoMo interoperability mandate,Compulsory low‑cost interoperability with banks,FeeYield,pct,-15.5671,4,4,2,Fintech platform,revenue erosion,0.5
S06_v1.0_1,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,FIN02,pct,-2.8368,2,5,3,Cyber resilience,revenue loss + fines,1.0
S47_v0.5_2,Stress,ECG load-shedding Stage 6 - 6 months,"Daily 8‑hour power cuts, diesel costs quadruple",SiteAvailability,delta,-1.3026,3,4,4,Alternative power,service uptime,0.5
S56_v1.0_2,Combined,Perfect storm (macro+cyber+regulatory+climate),Worst‑case combined event,FIN03,delta,-7.8985,1,5,8,Comprehensive resilience,severe margin,1.0
S53_v1.0_1,Upside,MoMo lending / micro-insurance breakthrough,"MoMo lending scales 5x, insurance attach rate 20%",SEG03,pct,36.9827,3,4,4,Fintech growth,industry opportunity,1.0
S16_v1.5_1,Stress,Hyperinflation return - 50%+,"Inflation exceeds 50%, currency crisis deepens",FIN03,delta,-9.4151,2,5,6,Cost pass-through,operating leverage,1.5
S85_v1.0_1,Upside,New data centre investment,MTN builds Tier‑4 data centre,EBITDA,delta,0.1979,4,3,2,Digital infrastructure,cloud revenue,1.0
S23_v1.0_1,Shock,BoG FX intervention failure - disorderly devaluation,"Cedi hits 18 GHS/USD, BoG runs out of reserves",USDPayables,pct,24.4622,2,5,6,Hard currency reserves,liquidity crisis,1.0
S11_v1.0_1,Combined,Ghana macro reversal,"IMF suspension, cedi collapse, inflation spike",FIN03,delta,-4.1751,3,5,6,Diversification (enhanced),compound margin impact,1.0
S33_v1.0_2,Shock,Ransomware - core network 10-day outage,"Full network outage due to ransomware, 10 days",OPS01,pct,-5.7387,1,5,4,Cyber insurance (enhanced),subscriber loss,1.0
S17_v0.5_2,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,CapexFinancing,pct,21.4106,2,4,2,Refinancing,FY22 rate spike,0.5
S07_v1.0_1,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",OPS07,delta,-2.2858,2,4,2,Litigation & lobbying (enhanced),coverage reduction,1.0
S74_v0.5_2,Stress,Labour dispute - 1 week strike,"Short strike, minimal impact",Opex,abs,27.2194,4,2,1,Labour relations (enhanced),small cost,0.5
S38_v1.0_1,Shock,National grid + telecoms cyberattack,State‑sponsored attack on grid and telcos,EmergencyOpex,pct,24.0954,1,5,8,National security,restoration cost,1.0
S32_v1.5_2,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,FIN03,delta,-7.8798,2,5,6,Unified response,margin crash,1.5
S56_v1.5_1,Combined,Perfect storm (macro+cyber+regulatory+climate),Worst‑case combined event,SEG03,pct,-63.254,1,5,8,Comprehensive resilience,MoMo wipeout,1.5
S19_v0.5_2,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,FIN01,pct,5.5766,3,3,2,Shareholder returns,FY25 tailwind,0.5
S67_v1.5_2,Upside,5G auction win - MTN leads,MTN wins 5G spectrum cheaply,DataShare,delta,2.6248,4,3,3,5G leadership (enhanced),competitive advantage,1.5
S15_v1.0_2,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",OPS04,pct,-24.8218,2,5,4,Emergency tariff repricing,ARPU collapse,1.0
S37_v1.0_1,Stress,AI-driven MoMo fraud surge +500%,AI fraud attacks cause massive MoMo losses,MoMoUsers,pct,-7.0237,3,4,2,AI fraud detection (enhanced),trust erosion,1.0
S34_v1.0_2,Shock,MoMo vendor insolvency - forced migration,"MoMo platform vendor goes bankrupt, 15‑day migration",EmergencyCapex,abs,1262.2761,2,4,6,Vendor diversification (enhanced),industry risk,1.0
S36_v0.5_2,Shock,Subsea cable cut - bandwidth crisis,"International fibre cut, 50% capacity loss for 3 weeks",EnterpriseRevenue,pct,-3.776,2,3,1,Alternative routing,2024 WACS outage,0.5
S83_v0.5_1,Stress,Diesel tax rebate,Govt removes fuel tax for telcos,FIN03,delta,0.2543,4,2,1,Government relations,benefit,0.5
S08_v1.5_2,Shock,Major flood - 300+ sites down,Heavy rains damage 300 cell sites across south,OPS01,pct,-1.6307,2,3,2,Disaster recovery,subscriber disruption,1.5
S19_v1.0_1,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,USDOpex,pct,-12.5543,3,3,2,Shareholder returns,cost relief,1.0
S60_v1.0_2,Stress,Inflation 35% (severe),CPI hits 35% after currency crisis,FIN03,delta,-4.6421,2,5,3,Price elasticity,FY22 extreme,1.0
S19_v1.0_2,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,FIN01,pct,9.8376,3,3,2,Shareholder returns (enhanced),FY25 tailwind,1.0
S54_v1.0_2,Upside,Ghana GDP 8%+ super-cycle,"Oil & mining boom, GDP growth >8%",MoMoVolumes,pct,16.8393,2,3,2,Macro hedging,transaction growth,1.0
S67_v0.5_2,Upside,5G auction win - MTN leads,MTN wins 5G spectrum cheaply,DataARPU,pct,0.7453,4,3,3,5G leadership,premium pricing,0.5
S02_v1.5_2,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,FIN03,delta,-4.8806,3,3,2,Cost optimisation,FY22 inflation impact,1.5
S10_v1.0_2,Shock,Competitive intensification (ARPU pressure),Price war cuts data tariffs 30% across market,FIN01,pct,-6.2218,3,4,2,Product differentiation,revenue erosion,1.0
S15_v1.0_1,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN03,delta,-4.6594,2,5,4,Emergency tariff repricing (enhanced),USD cost pass-through,1.0
S62_v1.5_2,Stress,Ghana GDP growth 0% (stagnation),GDP growth 0% (stagnation),Subscribers,pct,-1.6852,3,3,2,Cost rationalisation,disposable income,1.5
S54_v1.5_2,Upside,Ghana GDP 8%+ super-cycle,"Oil & mining boom, GDP growth >8%",OPS01,pct,7.4945,2,3,2,Macro hedging (enhanced),historical boom,1.5
S51_v1.0_2,Stress,Labour dispute - extended strike,Union strikes for 4 weeks over pay,CustomerService,delta,-0.4378,2,3,2,Employee relations,NPS decline,1.0
S40_v1.0_1,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,CAC,pct,22.7775,4,3,2,Value proposition,customer acquisition,1.0
S33_v0.5_1,Shock,Ransomware - core network 10-day outage,"Full network outage due to ransomware, 10 days",FIN01,pct,-9.8584,1,5,4,Cyber insurance,MTN Nigeria 2023 analogue,0.5
S44_v1.0_2,Shock,Bank-led mobile wallet captures MoMo share,Consortium of banks launches unified wallet,MoMoUsers,pct,-15.2865,3,4,3,Fintech partnership,Kenya M-Pesa vs banks,1.0
S37_v1.5_2,Stress,AI-driven MoMo fraud surge +500%,AI fraud attacks cause massive MoMo losses,MoMoUsers,pct,-12.338,3,4,2,AI fraud detection,trust erosion,1.5
S04_v1.5_2,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",Dividend,abs,-74.5533,2,4,6,Repatriation planning,FY22 dividend freeze,1.5
S27_v1.0_2,Stress,Parliament social tariff floor,"Minimum data price floor removed, intense price war",FIN01,pct,-6.2909,3,4,2,Pricing strategy,Kenya precedent,1.0
S68_v0.5_2,Stress,Subsea cable cut - minor 1 week,"Single fibre cut, 10% capacity loss",FIN01,pct,-0.2716,4,2,1,Redundancy planning,limited impact,0.5
S15_v1.0_1,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN02,pct,-19.5689,2,5,4,Emergency tariff repricing,EBITDA erosion,1.0
S76_v0.5_2,Stress,Shareholder dividend pressure,Activist investors demand higher payout,Dividend,delta,0.2717,3,3,2,Capital allocation,no direct KPI,0.5
S63_v1.5_2,Stress,NCA small fine GHS 100m,Minor compliance fine,Fine,abs,143.6076,4,2,1,Compliance,industry norm,1.5
S13_v1.5_2,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,FIN03,delta,-4.9277,2,5,6,Resilience investment (enhanced),cost overrun,1.5
S14_v0.5_2,Combined,Reverse-FY25 - all tailwinds vanish,"Cedi weakens, inflation rises, regulatory crackdown",Opex,pct,11.0831,3,5,4,Base case review (enhanced),cost pressure,0.5
S26_v1.0_1,Stress,Spectrum refarming forced at cost,Refarming 2G/3G to 4G/5G at NCA's cost,Capex,abs,766.4307,3,3,3,Network planning,MTN SA refarming cost,1.0
S45_v1.0_1,Stress,OTT substitution accelerates - voice collapse,WhatsApp voice + video kills traditional voice,VoiceRev,pct,-19.002,4,3,2,OTT monetisation (enhanced),global trend,1.0
S17_v1.5_2,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,Dividend,pct,-95.4388,2,4,2,Refinancing,cash preservation,1.5
S19_v0.5_2,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,USDOpex,pct,-7.3044,3,3,2,Shareholder returns (enhanced),cost relief,0.5
S42_v1.0_2,Stress,AT Ghana recapitalisation,"AirtelTigo gets new investor, aggressive marketing",Churn,pct,2.1876,3,3,2,Marketing efficiency (enhanced),subscriber retention,1.0
S81_v0.5_2,Stress,Starlink urban expansion,Starlink offers competitive urban data bundles,DataARPU,pct,-1.3416,3,3,2,Satellite strategy,price pressure,0.5
S15_v1.0_2,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN03,delta,-4.5617,2,5,4,Emergency tariff repricing,USD cost pass-through,1.0
S41_v1.5_1,Shock,New MVNO entry - tech giant,Amazon or Google launches MVNO in Ghana,Enterprise,pct,-15.2693,2,4,3,Strategic partnership,business segment,1.5
S29_v1.5_2,Shock,NCA partial licence revocation,NCA revokes MTN's data licence in 2 regions,GroupWriteDown,delta,1.3116,1,5,8,Legal defence,impairment,1.5
S04_v1.5_2,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",WorkingCapital,delta,23.0428,2,4,6,Repatriation planning,FY22 working capital impact,1.5
